lead_frequency_class,scenario,n_haplotypes,n_partners,strategy,n_panels,n_available,unavailable_fraction,n_empirical_evaluable,unavailable_fraction_among_empirical_evaluable,exact_recovery_given_available,error_given_available,exact_recovery_on_empirical_evaluable_panels,error_on_empirical_evaluable_panels,unconditional_correct_fraction,median_hamming_given_available,p95_hamming_given_available,median_alt_carriers,zero_alt_carrier_fraction,tie_fraction_given_available,true_mode_in_empirical_mode_set_given_available
common,balanced_q1,500,4,empirical_mode,30,30,0.0,30,0.0,0.9333333333333333,0.06666666666666665,0.9333333333333333,0.06666666666666665,0.9333333333333333,0.0,0.5499999999999972,120.5,0.0,0.0,0.9333333333333333
common,balanced_q1,500,4,fitted,30,30,0.0,30,0.0,0.9333333333333333,0.06666666666666665,0.9333333333333333,0.06666666666666665,0.9333333333333333,0.0,0.5499999999999972,120.5,,,
common,balanced_q1,500,4,ld_sign,30,28,0.06666666666666665,30,0.06666666666666665,0.10714285714285714,0.8928571428571429,0.10714285714285714,0.8928571428571429,0.1,2.0,3.0,120.5,,,
common,balanced_q1,500,32,empirical_mode,30,30,0.0,30,0.0,0.36666666666666664,0.6333333333333333,0.36666666666666664,0.6333333333333333,0.36666666666666664,1.0,4.549999999999997,127.5,0.0,0.3333333333333333,0.4
common,balanced_q1,500,32,fitted,30,30,0.0,30,0.0,0.9,0.09999999999999998,0.9,0.09999999999999998,0.9,0.0,1.5499999999999972,127.5,,,
common,balanced_q1,500,32,ld_sign,30,27,0.09999999999999998,30,0.09999999999999998,0.0,1.0,0.0,1.0,0.0,14.0,20.0,127.5,,,
common,balanced_q1,500,256,empirical_mode,30,30,0.0,30,0.0,0.0,1.0,0.0,1.0,0.0,122.0,137.2,120.0,0.0,1.0,0.0
common,balanced_q1,500,256,fitted,30,30,0.0,30,0.0,0.26666666666666666,0.7333333333333334,0.26666666666666666,0.7333333333333334,0.26666666666666666,1.0,4.549999999999997,120.0,,,
common,balanced_q1,500,256,ld_sign,30,10,0.6666666666666667,30,0.6666666666666667,0.8,0.19999999999999996,0.8,0.19999999999999996,0.26666666666666666,0.0,3.099999999999998,120.0,,,
common,balanced_q1,1000,4,empirical_mode,30,30,0.0,30,0.0,0.9666666666666667,0.033333333333333326,0.9666666666666667,0.033333333333333326,0.9666666666666667,0.0,0.0,236.5,0.0,0.0,0.9666666666666667
common,balanced_q1,1000,4,fitted,30,30,0.0,30,0.0,0.9666666666666667,0.033333333333333326,0.9666666666666667,0.033333333333333326,0.9666666666666667,0.0,0.0,236.5,,,
common,balanced_q1,1000,4,ld_sign,30,30,0.0,30,0.0,0.1,0.9,0.1,0.9,0.1,2.0,3.0,236.5,,,
common,balanced_q1,1000,32,empirical_mode,30,30,0.0,30,0.0,0.5666666666666667,0.43333333333333335,0.5666666666666667,0.43333333333333335,0.5666666666666667,0.0,8.099999999999994,245.0,0.0,0.3,0.6
common,balanced_q1,1000,32,fitted,30,30,0.0,30,0.0,0.7666666666666667,0.23333333333333328,0.7666666666666667,0.23333333333333328,0.7666666666666667,0.0,3.749999999999986,245.0,,,
common,balanced_q1,1000,32,ld_sign,30,30,0.0,30,0.0,0.0,1.0,0.0,1.0,0.0,14.0,20.0,245.0,,,
