lead_frequency_class,scenario,n_haplotypes,n_partners,n_panels,fit_unavailable_fraction,median_lead_alt_frequency,median_monomorphic_panel_variants,fraction_with_any_monomorphic_variant
common,balanced_q1,500,4,30,0.0,0.23239973422784035,0.0,0.06666666666666667
common,balanced_q1,500,32,30,0.0,0.24736477379380004,0.0,0.1
common,balanced_q1,500,256,30,0.0,0.2275595637335431,1.0,0.6666666666666666
common,balanced_q1,1000,4,30,0.0,0.23239973422784035,0.0,0.0
common,balanced_q1,1000,32,30,0.0,0.24736477379380004,0.0,0.0
common,balanced_q1,1000,256,30,0.0,0.2275595637335431,0.0,0.1
common,balanced_q1,2000,4,30,0.0,0.23239973422784035,0.0,0.0
common,balanced_q1,2000,32,30,0.0,0.24736477379380004,0.0,0.0
common,balanced_q1,2000,256,30,0.0,0.2275595637335431,0.0,0.0
common,lead_ld_q1,500,4,30,0.0,0.2588336173514637,0.0,0.0
common,lead_ld_q1,500,32,30,0.0,0.2921433225552461,0.0,0.16666666666666666
common,lead_ld_q1,500,256,30,0.0,0.2525004998359732,0.5,0.5
common,lead_ld_q1,1000,4,30,0.0,0.2588336173514637,0.0,0.0
common,lead_ld_q1,1000,32,30,0.0,0.2921433225552461,0.0,0.0
common,lead_ld_q1,1000,256,30,0.0,0.2525004998359732,0.0,0.1
common,lead_ld_q1,2000,4,30,0.0,0.2588336173514637,0.0,0.0
common,lead_ld_q1,2000,32,30,0.0,0.2921433225552461,0.0,0.0
common,lead_ld_q1,2000,256,30,0.0,0.2525004998359732,0.0,0.0
common,lead_ld_q2,500,4,30,0.0,0.21624217528302725,0.0,0.03333333333333333
common,lead_ld_q2,500,32,30,0.0,0.18666583572077164,0.0,0.1
common,lead_ld_q2,500,256,30,0.0,0.21967046944778765,0.0,0.4666666666666667
common,lead_ld_q2,1000,4,30,0.0,0.21624217528302725,0.0,0.0
common,lead_ld_q2,1000,32,30,0.0,0.18666583572077164,0.0,0.0
common,lead_ld_q2,1000,256,30,0.0,0.21967046944778765,0.0,0.03333333333333333
common,lead_ld_q2,2000,4,30,0.0,0.21624217528302725,0.0,0.0
common,lead_ld_q2,2000,32,30,0.0,0.18666583572077164,0.0,0.0
common,lead_ld_q2,2000,256,30,0.0,0.21967046944778765,0.0,0.0
rare,balanced_q1,500,4,30,0.0,0.012533254267348994,0.0,0.06666666666666667
rare,balanced_q1,500,32,30,0.0,0.01752694486669569,0.0,0.16666666666666666
rare,balanced_q1,500,256,30,0.0,0.013228199638485823,1.0,0.6
rare,balanced_q1,1000,4,30,0.0,0.012533254267348994,0.0,0.0
rare,balanced_q1,1000,32,30,0.0,0.01752694486669569,0.0,0.03333333333333333
rare,balanced_q1,1000,256,30,0.0,0.013228199638485823,0.0,0.03333333333333333
rare,balanced_q1,2000,4,30,0.0,0.012533254267348994,0.0,0.0
rare,balanced_q1,2000,32,30,0.0,0.01752694486669569,0.0,0.0
rare,balanced_q1,2000,256,30,0.0,0.013228199638485823,0.0,0.0
rare,lead_ld_q1,500,4,30,0.0,0.01320439737277387,0.0,0.0
rare,lead_ld_q1,500,32,30,0.0,0.018679078498671897,0.0,0.06666666666666667
rare,lead_ld_q1,500,256,30,0.0,0.016276337622248213,0.0,0.3333333333333333
rare,lead_ld_q1,1000,4,30,0.0,0.01320439737277387,0.0,0.0
rare,lead_ld_q1,1000,32,30,0.0,0.018679078498671897,0.0,0.0
rare,lead_ld_q1,1000,256,30,0.0,0.016276337622248213,0.0,0.06666666666666667
rare,lead_ld_q1,2000,4,30,0.0,0.01320439737277387,0.0,0.0
rare,lead_ld_q1,2000,32,30,0.0,0.018679078498671897,0.0,0.0
rare,lead_ld_q1,2000,256,30,0.0,0.016276337622248213,0.0,0.0
rare,lead_ld_q2,500,4,30,0.0,0.0184845809155651,0.0,0.0
rare,lead_ld_q2,500,32,30,0.0,0.026440431306484737,0.0,0.16666666666666666
rare,lead_ld_q2,500,256,30,0.0,0.017695758054363,1.0,0.5333333333333333
rare,lead_ld_q2,1000,4,30,0.0,0.0184845809155651,0.0,0.0
rare,lead_ld_q2,1000,32,30,0.0,0.026440431306484737,0.0,0.0
rare,lead_ld_q2,1000,256,30,0.0,0.017695758054363,0.0,0.13333333333333333
rare,lead_ld_q2,2000,4,30,0.0,0.0184845809155651,0.0,0.0
rare,lead_ld_q2,2000,32,30,0.0,0.026440431306484737,0.0,0.0
rare,lead_ld_q2,2000,256,30,0.0,0.017695758054363,0.0,0.0
