lead_frequency_class,scenario,n_haplotypes,n_partners,replicate,lead_alt_frequency,n_monomorphic_panel_variants,fit_available,lead_state,n_conditioning_haplotypes,empirical_mode_available,empirical_mode_maximum_count,n_tied_empirical_modes,true_mode_in_empirical_mode_set,ld_sign_available,n_undefined_ld_sign_partners,true_top1_in_fitted_top10,top10_overlap_fraction,available,strategy,exact_true_mode,hamming_to_true_mode,true_log_probability,true_probability,true_probability_regret,true_rank_if_top10
common,balanced_q1,1000,256,0,0.3444851959240517,0,True,0,659,True,1,659,False,True,0,True,0.4,True,fitted,True,0.0,-13.172136264843976,1.9028909703698282e-06,0.0,1.0
common,balanced_q1,1000,256,0,0.3444851959240517,0,True,0,659,True,1,659,False,True,0,True,0.4,True,empirical_mode,False,121.0,-38.351889616648435,2.207933398529261e-17,1.9028909703477488e-06,
common,balanced_q1,1000,256,0,0.3444851959240517,0,True,0,659,True,1,659,False,True,0,True,0.4,True,ld_sign,True,0.0,-13.172136264843976,1.9028909703698282e-06,0.0,1.0
common,balanced_q1,1000,256,0,0.3444851959240517,0,True,1,341,True,1,341,False,True,0,True,0.2,True,fitted,False,1.0,-14.553022942622416,4.783022688873143e-07,1.6451054846470715e-06,3.0
common,balanced_q1,1000,256,0,0.3444851959240517,0,True,1,341,True,1,341,False,True,0,True,0.2,True,empirical_mode,False,130.0,-42.24457209031442,4.50210325044773e-19,2.1234077535339356e-06,
common,balanced_q1,1000,256,0,0.3444851959240517,0,True,1,341,True,1,341,False,True,0,True,0.2,True,ld_sign,True,0.0,-13.0624883289022,2.123407753534382e-06,3.8116482626443515e-21,1.0
common,balanced_q1,1000,256,1,0.22772416271671997,0,True,0,756,True,1,756,False,True,0,True,0.4,True,fitted,True,0.0,-13.748139048977675,1.0696928048547177e-06,9.529120656610879e-21,1.0
common,balanced_q1,1000,256,1,0.22772416271671997,0,True,0,756,True,1,756,False,True,0,True,0.4,True,empirical_mode,False,132.0,-36.728105678994226,1.119918381409993e-16,1.0696928047427353e-06,
common,balanced_q1,1000,256,1,0.22772416271671997,0,True,0,756,True,1,756,False,True,0,True,0.4,True,ld_sign,True,0.0,-13.748139048977675,1.0696928048547177e-06,9.529120656610879e-21,1.0
common,balanced_q1,1000,256,1,0.22772416271671997,0,True,1,244,True,1,244,False,True,0,False,0.1,True,fitted,False,4.0,-18.969754659732185,5.774843619774113e-09,1.8335845060271644e-06,
common,balanced_q1,1000,256,1,0.22772416271671997,0,True,1,244,True,1,244,False,True,0,False,0.1,True,empirical_mode,False,118.0,-40.275187706274224,3.226325803466495e-18,1.8393593496437122e-06,
common,balanced_q1,1000,256,1,0.22772416271671997,0,True,1,244,True,1,244,False,True,0,False,0.1,True,ld_sign,True,0.0,-13.206093226511658,1.8393593496469353e-06,3.1763735522036263e-21,1.0
common,balanced_q1,1000,256,2,0.08267637039263676,0,True,0,926,True,1,926,True,True,0,True,0.3,True,fitted,True,0.0,-14.8372595752822,3.5996480459761145e-07,0.0,1.0
common,balanced_q1,1000,256,2,0.08267637039263676,0,True,0,926,True,1,926,True,True,0,True,0.3,True,empirical_mode,False,132.0,-53.91361960071779,3.851345744076056e-24,3.5996480459761145e-07,
common,balanced_q1,1000,256,2,0.08267637039263676,0,True,0,926,True,1,926,True,True,0,True,0.3,True,ld_sign,True,0.0,-14.8372595752822,3.5996480459761145e-07,0.0,1.0
common,balanced_q1,1000,256,2,0.08267637039263676,0,True,1,74,True,1,74,False,True,0,True,0.3,True,fitted,False,1.0,-12.1673691757635,5.197311029875595e-06,1.7457693783955876e-05,4.0
common,balanced_q1,1000,256,2,0.08267637039263676,0,True,1,74,True,1,74,False,True,0,True,0.3,True,empirical_mode,False,105.0,-37.334961291520834,6.104250241025213e-17,2.2655004813770428e-05,
common,balanced_q1,1000,256,2,0.08267637039263676,0,True,1,74,True,1,74,False,True,0,True,0.3,True,ld_sign,True,0.0,-10.69512976736091,2.265500481383147e-05,0.0,1.0
common,balanced_q1,1000,256,3,0.2947540637741865,0,True,0,718,True,1,718,False,True,0,True,0.6,True,fitted,True,0.0,-13.61222199976374,1.2254260239627076e-06,2.117582368135751e-21,1.0
common,balanced_q1,1000,256,3,0.2947540637741865,0,True,0,718,True,1,718,False,True,0,True,0.6,True,empirical_mode,False,123.0,-40.28098856185305,3.207664531431513e-18,1.225426023959502e-06,
common,balanced_q1,1000,256,3,0.2947540637741865,0,True,0,718,True,1,718,False,True,0,True,0.6,True,ld_sign,True,0.0,-13.61222199976374,1.2254260239627076e-06,2.117582368135751e-21,1.0
common,balanced_q1,1000,256,3,0.2947540637741865,0,True,1,282,True,1,282,False,True,0,True,0.4,True,fitted,True,0.0,-12.033375220754877,5.9425321903552595e-06,5.251604272976662e-20,1.0
common,balanced_q1,1000,256,3,0.2947540637741865,0,True,1,282,True,1,282,False,True,0,True,0.4,True,empirical_mode,False,105.0,-36.62368639798722,1.2431830792758352e-16,5.942532190230994e-06,
common,balanced_q1,1000,256,3,0.2947540637741865,0,True,1,282,True,1,282,False,True,0,True,0.4,True,ld_sign,True,0.0,-12.033375220754877,5.9425321903552595e-06,5.251604272976662e-20,1.0
